date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_team_clean,away_team_clean,result
1992-05-30,Japan,Argentina,0,1,Friendly tournament,,Japan,False,Japan,Argentina,away_win
1992-06-03,Norway,Scotland,0,0,Friendly,,Norway,False,Norway,Scotland,draw
1992-06-03,United States,Portugal,1,0,US Cup,,United States,False,USA,Portugal,home_win
1992-06-05,France,Netherlands,1,1,Friendly,,France,False,France,Netherlands,draw
1992-06-12,Netherlands,Scotland,1,0,European Championship,,Sweden,True,Netherlands,Scotland,home_win
1992-06-13,United States,Australia,0,1,Friendly,,United States,False,USA,Australia,away_win
1992-06-14,England,France,0,0,European Championship,,Sweden,True,England,France,draw
1992-06-15,Germany,Scotland,2,0,European Championship,,Sweden,True,Germany,Scotland,home_win
1992-06-18,Netherlands,Germany,3,1,European Championship,,Sweden,True,Netherlands,Germany,home_win
1992-06-18,Argentina,Australia,2,0,Friendly,,Argentina,False,Argentina,Australia,home_win
1992-06-21,Uruguay,Australia,2,0,Friendly,,Uruguay,False,Uruguay,Australia,home_win
1992-07-04,Uruguay,Ecuador,3,1,Friendly,,Uruguay,False,Uruguay,Ecuador,home_win
1992-07-05,Australia,Croatia,1,0,Friendly,,Australia,False,Australia,Croatia,home_win
1992-07-08,Australia,Croatia,3,1,Friendly,,Australia,False,Australia,Croatia,home_win
1992-07-12,Australia,Croatia,0,0,Friendly,,Australia,False,Australia,Croatia,draw
1992-07-26,Ivory Coast,Egypt,2,0,Friendly,,Ivory Coast,False,Côte d'Ivoire,Egypt,home_win
1992-07-28,Ivory Coast,Egypt,2,2,Friendly,,Ivory Coast,False,Côte d'Ivoire,Egypt,draw
1992-07-31,United States,Colombia,0,1,Friendly tournament,,United States,False,USA,Colombia,away_win
1992-07-31,Brazil,Mexico,5,0,Friendly tournament,,United States,True,Brazil,Mexico,home_win
1992-08-02,United States,Brazil,0,1,Friendly tournament,,United States,False,USA,Brazil,away_win
1992-08-02,Colombia,Mexico,0,0,Friendly tournament,,United States,True,Colombia,Mexico,draw
1992-08-22,Japan,South Korea,0,0,Dynasty Cup,,China,True,Japan,Korea Republic,draw
1992-08-26,France,Brazil,0,2,Friendly,,France,False,France,Brazil,away_win
1992-08-29,Japan,South Korea,2,2,Dynasty Cup,,China,True,Japan,Korea Republic,draw
1992-09-02,Austria,Portugal,1,1,Friendly,,Austria,False,Austria,Portugal,draw
1992-09-03,Canada,United States,0,2,Friendly,,Canada,False,Canada,USA,away_win
1992-09-08,Egypt,Jordan,1,1,Pan Arab Games & Arab Cup,,Syria,True,Egypt,Jordan,draw
1992-09-09,Spain,England,1,0,Friendly,,Spain,False,Spain,England,home_win
1992-09-09,Switzerland,Scotland,3,1,World Cup qualifier,,Switzerland,False,Switzerland,Scotland,home_win
1992-09-18,Egypt,Saudi Arabia,3,2,Pan Arab Games & Arab Cup,,Syria,True,Egypt,Saudi Arabia,home_win
1992-09-23,Tunisia,Algeria,1,1,Friendly,,Tunisia,False,Tunisia,Algeria,draw
1992-09-23,Uruguay,Argentina,0,0,Lipton Cup,,Uruguay,False,Uruguay,Argentina,draw
1992-09-23,Norway,Netherlands,2,1,World Cup qualifier,,Norway,False,Norway,Netherlands,home_win
1992-10-09,United States,Canada,0,0,Friendly,,United States,False,USA,Canada,draw
1992-10-14,England,Norway,1,1,World Cup qualifier,,England,False,England,Norway,draw
1992-10-14,Scotland,Portugal,0,0,World Cup qualifier,,Scotland,False,Scotland,Portugal,draw
1992-10-14,Germany,Mexico,1,1,Friendly,,Germany,False,Germany,Mexico,draw
1992-10-14,France,Austria,2,0,World Cup qualifier,,France,False,France,Austria,home_win
1992-10-15,Saudi Arabia,United States,3,0,Intercontinental Champ,,Saudi Arabia,False,Saudi Arabia,USA,home_win
1992-10-16,Argentina,Ivory Coast,4,0,Intercontinental Champ,,Saudi Arabia,True,Argentina,Côte d'Ivoire,home_win
1992-10-19,United States,Ivory Coast,5,2,Intercontinental Champ,,Saudi Arabia,True,USA,Côte d'Ivoire,home_win
1992-10-20,Saudi Arabia,Argentina,1,3,Intercontinental Champ,,Saudi Arabia,False,Saudi Arabia,Argentina,away_win
1992-10-22,Croatia,Mexico,3,0,Friendly,,Croatia,False,Croatia,Mexico,home_win
1992-10-31,Qatar,Saudi Arabia,1,1,Asian Cup,,Japan,True,Qatar,Saudi Arabia,draw
1992-11-03,Japan,Iran,1,0,Asian Cup,,Japan,False,Japan,IR Iran,home_win
1992-11-08,Morocco,Egypt,0,0,African Nations Cup qualifier,,Morocco,False,Morocco,Egypt,draw
1992-11-08,Japan,Saudi Arabia,1,0,Asian Cup,,Japan,False,Japan,Saudi Arabia,home_win
1992-11-18,Germany,Austria,0,0,Friendly,,Germany,False,Germany,Austria,draw
1992-11-25,Brazil,Uruguay,1,2,Friendly,,Brazil,False,Brazil,Uruguay,away_win
1992-12-10,Qatar,Saudi Arabia,0,1,Gulf Cup,,Qatar,False,Qatar,Saudi Arabia,away_win
1992-12-16,Brazil,Germany,3,1,Friendly,,Brazil,False,Brazil,Germany,home_win
1992-12-20,Ghana,Algeria,2,0,World Cup qualifier,,Ghana,False,Ghana,Algeria,home_win
1992-12-20,Tunisia,Morocco,1,1,World Cup qualifier,,Tunisia,False,Tunisia,Morocco,draw
1992-12-20,Uruguay,Germany,1,4,Friendly,,Uruguay,False,Uruguay,Germany,away_win
1993-01-10,Senegal,Algeria,1,2,African Nations Cup qualifier,,Senegal,False,Senegal,Algeria,away_win
1993-01-27,Spain,Mexico,1,1,Friendly,,Spain,False,Spain,Mexico,draw
1993-02-10,South Korea,Ghana,3,1,Independence Tournament,,Malaysia,True,Korea Republic,Ghana,home_win
1993-02-10,Portugal,Norway,1,1,Friendly,,Portugal,False,Portugal,Norway,draw
1993-02-18,Argentina,Brazil,1,1,Friendly tournament,,Argentina,False,Argentina,Brazil,draw
1993-02-26,Algeria,Ghana,2,1,World Cup qualifier,,Algeria,False,Algeria,Ghana,home_win
1993-02-28,Morocco,Tunisia,0,0,World Cup qualifier,,Morocco,False,Morocco,Tunisia,draw
1993-03-03,United States,Canada,2,2,Friendly,,United States,False,USA,Canada,draw
1993-03-09,Canada,South Korea,0,2,Friendly,,Canada,False,Canada,Korea Republic,away_win
1993-03-11,Canada,South Korea,2,0,Friendly,,Canada,False,Canada,Korea Republic,home_win
1993-03-12,Qatar,Jordan,1,2,Friendly,,Qatar,False,Qatar,Jordan,away_win
1993-03-14,Japan,United States,3,1,Friendly tournament,,Japan,False,Japan,USA,home_win
1993-03-17,Tunisia,Switzerland,0,1,Friendly,,Tunisia,False,Tunisia,Switzerland,away_win
1993-03-24,Scotland,Germany,0,1,Friendly,,Scotland,False,Scotland,Germany,away_win
1993-03-27,Austria,France,0,1,World Cup qualifier,,Austria,False,Austria,France,away_win
1993-03-30,Qatar,Norway,1,6,Friendly,,Qatar,False,Qatar,Norway,away_win
1993-03-31,Switzerland,Portugal,1,1,World Cup qualifier,,Switzerland,False,Switzerland,Portugal,draw
1993-04-09,Saudi Arabia,United States,0,2,Friendly,,Saudi Arabia,False,Saudi Arabia,USA,away_win
1993-04-14,Germany,Ghana,6,1,Friendly,,Germany,False,Germany,Ghana,home_win
1993-04-16,Algeria,Ivory Coast,1,1,World Cup qualifier,,Algeria,False,Algeria,Côte d'Ivoire,draw
1993-04-18,Saudi Arabia,New Zealand,3,1,Friendly,,Singapore,True,Saudi Arabia,New Zealand,home_win
1993-04-18,Morocco,Senegal,1,0,World Cup qualifier,,Morocco,False,Morocco,Senegal,home_win
1993-04-24,Saudi Arabia,New Zealand,1,0,Friendly,,Singapore,True,Saudi Arabia,New Zealand,home_win
1993-04-25,Mexico,Canada,4,0,World Cup qualifier,,Mexico,False,Mexico,Canada,home_win
1993-04-28,England,Netherlands,2,2,World Cup qualifier,,England,False,England,Netherlands,draw
1993-04-28,Portugal,Scotland,5,0,World Cup qualifier,,Portugal,False,Portugal,Scotland,home_win
1993-05-08,United States,Colombia,1,2,Friendly,,United States,False,USA,Colombia,away_win
1993-05-09,Canada,Mexico,1,2,World Cup qualifier,,Canada,False,Canada,Mexico,away_win
